,Resource,ComplexityOfRepair
0,Solver,Simple
1,Solver,Simple
2,Solver,Simple
3,Solver,Complex
4,Solver,Simple
5,Solver,Complex
6,Solver,Simple
7,Solver,Complex
8,Solver,Simple
9,Solver,Complex
10,Solver,Complex
11,Solver,Simple
12,Solver,Simple
13,Solver,Complex
14,Solver,Medium
15,Solver,Complex
16,Solver,Simple
17,Solver,Complex
18,Solver,Complex
19,Solver,Medium
20,Solver,Simple
21,Solver,Complex
22,Solver,Complex
23,Solver,Medium
24,Solver,Simple
25,Solver,Complex
26,Solver,Complex
27,Solver,Medium
28,Solver,Simple
29,Solver,Complex
30,Solver,Complex
31,Solver,Medium
32,Solver,Simple
33,Solver,Complex
34,Solver,Complex
35,Solver,Medium
36,Solver,Medium
37,Solver,Complex
38,Solver,Complex
39,Solver,Simple
40,Solver,Medium
41,Solver,Complex
42,Solver,Complex
43,Solver,Simple
44,Solver,Medium
45,Solver,Complex
46,Solver,Complex
47,Solver,Simple
48,Solver,Medium
49,Solver,Complex
50,Solver,Complex
51,Solver,Simple
52,Solver,Medium
53,Solver,Complex
54,Solver,Complex
55,Solver,Medium
56,Solver,Medium
57,Solver,Complex
58,Solver,Complex
59,Solver,Medium
60,Solver,Medium
61,Solver,Complex
62,Solver,Complex
63,Solver,Medium
64,Solver,Medium
65,Solver,Complex
66,Solver,Complex
67,Solver,Medium
68,Solver,Medium
69,Solver,Complex
70,Solver,Simple
71,Solver,Medium
72,Solver,Simple
73,Solver,Complex
74,Solver,Simple
75,Solver,Simple
76,Solver,Simple
77,Solver,Complex
78,Solver,Simple
79,Solver,Simple
80,Solver,Simple
81,Solver,Complex
82,Solver,Complex
83,Solver,Simple
84,Solver,Simple
85,Solver,Complex
86,Solver,Medium
87,Solver,Simple
88,Solver,Simple
89,Solver,Complex
90,Solver,Medium
91,Solver,Medium
92,Solver,Simple
93,Solver,Complex
94,Solver,Simple
95,Solver,Medium
96,Solver,Simple
97,Solver,Complex
98,Solver,Complex
99,Solver,Medium
100,Solver,Simple
101,Solver,Complex
102,Solver,Medium
103,Solver,Medium
104,Solver,Medium
105,Solver,Complex
106,Solver,Simple
107,Solver,Simple
108,Solver,Medium
109,Solver,Complex
110,Solver,Complex
111,Solver,Simple
112,Solver,Medium
113,Solver,Complex
114,Solver,Medium
115,Solver,Simple
116,Solver,Medium
117,Solver,Complex
118,Solver,Medium
119,Solver,Simple
120,Solver,Medium
121,Solver,Complex
122,Solver,Simple
123,Solver,Medium
124,Solver,Medium
125,Solver,Complex
126,Solver,Complex
127,Solver,Medium
128,Solver,Medium
129,Solver,Complex
130,Solver,Medium
